heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
spirit_breaker,3.0,317,392,8237,11137,251,5077,8,2
visage,8.5,545,538,9814,5481,6973,7155,0,2
magnataur,1.5,485,581,2487,14869,291,3162,0,0
tiny,2.33,432,442,10820,13661,605,698,2,0
morphling,0.8,456,517,5616,11699,266,985,0,0
silencer,1.0,221,282,11085,12800,39,1600,9,3
mirana,3.5,216,303,7490,8731,0,348,2,2
pangolier,1.14,459,527,12657,18214,0,4640,1,0
skywrath_mage,1.14,192,295,6598,13333,51,2792,7,2
disruptor,1.6,207,272,6305,13863,0,1008,8,2
magnataur,2.0,451,487,5774,26163,758,4223,0,0
nevermore,1.14,521,592,9666,17923,849,3802,0,1
medusa,16.0,880,779,23218,656,19100,3450,0,0
shredder,7.0,546,609,21103,12333,2091,6758,0,0
spirit_breaker,4.0,407,550,10860,15014,46,3275,9,1
lich,9.0,341,497,10853,7376,222,2346,8,6
visage,20.0,532,657,23462,5621,8371,2486,0,0
morphling,14.0,722,850,17804,13878,15270,3396,0,1
queenofpain,21.0,720,927,27608,15297,1805,3407,1,0
antimage,17.0,622,801,11882,10716,5611,5310,0,0
batrider,4.5,356,380,7878,14723,69,4229,3,3
silencer,4.2,345,404,8547,13431,524,1097,14,7
shadow_demon,0.44,229,308,11810,18646,52,7575,7,3
medusa,0.2,585,682,12813,4583,2586,5473,0,0
lycan,2.33,520,472,10318,15399,5844,6986,0,0
rubick,0.67,263,303,11226,13169,0,7832,8,3
ember_spirit,1.0,479,513,21878,21922,2242,19549,1,0
medusa,1.8,685,796,39198,3309,563,5909,1,0
shredder,0.83,467,580,16795,23838,260,2497,0,0
queenofpain,2.5,449,527,13225,17578,1611,3190,2,1
rubick,0.75,282,321,8455,16634,226,2048,13,1
spirit_breaker,0.41,281,410,12463,35203,0,3856,3,0
faceless_void,6.33,691,805,16088,23036,7532,1648,0,2
storm_spirit,15.5,576,745,32340,12731,1737,3333,2,0
shadow_demon,6.0,420,593,12676,12094,366,717,4,0
pugna,9.0,315,609,14794,11775,1836,3650,11,7
primal_beast,27.0,604,737,20664,30500,2673,1262,0,0
pangolier,1.7,517,627,24034,48212,46,14485,0,0
templar_assassin,4.0,764,882,40601,18653,2959,10327,1,3
keeper_of_the_light,3.0,295,557,10031,24075,20,7413,7,3
spirit_breaker,0.82,301,513,7738,43362,0,6877,13,0
razor,1.88,640,788,25465,45073,0,8403,0,0
broodmother,6.0,794,888,40679,37310,8898,5203,1,1
puck,15.0,709,888,57481,17186,1586,3892,1,6
phoenix,4.0,409,676,22428,19911,0,1880,5,2
rattletrap,4.33,348,477,15140,24907,0,3238,16,3
medusa,8.0,943,796,43647,6830,12455,6983,0,1
medusa,6.5,432,529,11533,1094,2593,3184,1,1
alchemist,15.0,835,876,16678,12023,8447,4664,0,0
underlord,5.0,497,550,13432,13237,5547,3267,0,0
ember_spirit,16.0,586,654,18181,6965,1524,2893,2,0
enchantress,2.5,342,401,13936,11208,7809,3574,12,5
sven,3.0,642,886,8064,13092,438,2015,2,0
tusk,1.0,290,389,6390,19937,142,3296,2,2
techies,1.17,251,367,9516,11754,24,890,8,4
windrunner,1.5,454,486,13177,17493,996,2486,0,1
invoker,2.5,436,464,7380,11484,2092,1477,2,0
mirana,3.0,302,407,6612,12204,305,6609,6,3
storm_spirit,8.5,515,580,19086,15785,1151,14537,3,2
medusa,18.0,828,846,30932,369,19499,9416,0,2
necrolyte,8.5,496,574,16698,15065,1240,5356,0,0
pugna,3.0,261,367,10957,11807,1413,3545,5,2
slark,2.0,504,668,9664,20705,0,1891,0,1
visage,3.5,437,447,8419,10389,2165,1738,2,0
spirit_breaker,1.29,307,367,7098,22598,0,1607,7,4
venomancer,5.0,416,452,18650,10087,133,698,0,0
pudge,1.75,249,350,11399,20125,0,1658,5,0
oracle,7.0,308,406,5138,8609,390,1960,8,4
pangolier,17.0,545,617,15599,8599,932,857,1,1
techies,9.5,407,449,9703,6874,2061,864,3,1
lone_druid,20.0,700,698,13262,5614,15565,1076,0,0
troll_warlord,9.0,676,616,14450,11352,8165,1347,0,0
nevermore,0.5,467,533,7060,11547,0,471,1,0
void_spirit,2.0,423,406,12679,14408,255,1449,1,0
medusa,0.5,433,454,7467,3311,481,3294,0,1
earth_spirit,0.86,230,274,7694,15884,100,2137,5,1
rattletrap,0.57,202,279,6148,13002,20,1872,5,3
rattletrap,0.45,229,286,10784,23958,0,302,6,0
medusa,0.4,535,543,14659,7034,1433,1727,0,1
beastmaster,0.78,430,561,18622,30813,859,1777,0,0
pugna,0.75,244,283,14864,17466,340,1301,11,4
tusk,0.78,375,397,10349,29836,122,2262,1,0
clinkz,7.25,578,585,27307,17875,18308,191,0,1
techies,14.0,481,589,17012,11800,2649,1107,4,3
spirit_breaker,31.0,545,804,16469,15835,1977,1220,0,0
pangolier,30.0,668,918,36023,15096,2254,1551,2,1
shadow_demon,25.0,437,501,12296,8672,157,639,11,2
slark,22.0,753,1031,22820,26408,1428,7456,0,2
leshrac,34.0,790,806,28150,22869,8978,5558,2,0
batrider,19.0,567,773,11594,12966,307,4026,0,1
wisp,6.75,297,556,2844,16788,545,6860,10,3
spirit_breaker,12.5,308,440,10983,16665,305,4439,4,2
techies,0.2,251,278,21803,11685,0,1895,3,0
axe,0.36,316,363,22677,25086,0,4555,0,0
ember_spirit,0.44,377,489,17441,24238,133,4006,2,0
medusa,0.75,544,564,18983,3758,641,3994,0,0
shadow_demon,0.86,242,241,15042,11624,72,1202,9,2
pangolier,3.0,461,669,25207,20307,0,9749,2,1
rubick,2.12,285,340,19304,18256,0,5070,9,2
shredder,1.67,604,747,62109,41435,532,12566,0,0
bane,1.5,268,348,9579,23542,114,7538,7,4
ursa,1.33,525,628,28600,23055,0,7182,0,0
meepo,23.0,746,943,32819,82318,7536,15523,0,2
