heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
techies,3.0,377,401,9785,5451,2546,389,3,0
shredder,14.0,580,600,15618,6186,2329,1358,2,2
doom_bringer,9.0,671,577,8608,5813,2287,1064,0,0
terrorblade,7.0,662,561,9187,2555,17278,695,0,0
lich,6.0,310,378,8825,5031,686,653,6,5
terrorblade,24.0,929,887,42425,22738,18522,7324,0,1
dark_seer,2.71,572,640,22516,25652,1085,3709,0,0
batrider,3.0,658,891,22126,19246,0,5025,2,0
earth_spirit,4.8,349,480,10133,15689,647,2472,5,0
venomancer,3.67,399,488,21082,13396,1498,1281,8,3
leshrac,3.6,584,532,35851,29195,1065,17425,2,0
rubick,2.17,367,461,13564,16887,0,9787,7,2
faceless_void,3.2,572,646,27025,31976,623,10226,0,0
brewmaster,2.33,452,527,14066,20219,103,13666,0,0
wisp,2.22,248,409,6215,20005,337,6477,7,0
terrorblade,1.33,764,706,18895,15182,2068,2560,0,0
storm_spirit,1.75,533,582,17064,27641,668,6368,2,0
batrider,1.18,419,455,17140,30580,296,8471,0,0
bounty_hunter,1.62,247,300,8068,19429,65,6189,8,3
oracle,1.27,238,278,7911,16767,0,4374,10,1
shadow_demon,5.8,355,465,16282,11522,1781,5446,12,3
medusa,22.0,602,816,15390,529,4643,8768,0,1
pangolier,6.75,550,675,31379,21860,3807,7422,1,2
skywrath_mage,4.29,381,559,21736,12646,208,5132,7,4
alchemist,6.0,947,838,24812,22521,6167,10993,0,0
batrider,1.67,419,456,28800,41712,92,23635,0,1
tinker,5.0,718,780,57125,9880,0,3560,2,1
wisp,4.75,314,436,6515,14064,583,8883,3,0
crystal_maiden,1.15,292,439,18620,27273,20,9512,18,3
bloodseeker,2.8,586,639,32887,33100,4066,10123,0,0
pangolier,6.5,569,705,28488,30019,216,20320,0,0
skywrath_mage,7.0,324,523,20308,19381,306,9091,7,3
terrorblade,4.8,784,694,29229,38941,29284,20915,0,0
doom_bringer,8.67,765,828,27595,39224,81,21033,0,1
venomancer,4.67,410,561,20409,16382,1335,11221,16,8
batrider,2.69,427,612,21860,32420,728,14434,10,3
pangolier,5.67,631,764,65422,32668,3283,13370,1,0
brewmaster,9.0,536,638,41337,27272,7436,12250,0,5
morphling,8.0,788,814,45589,43728,16668,12613,2,1
spirit_breaker,5.14,569,689,25181,33193,761,16378,12,4
terrorblade,2.43,767,682,36077,40570,8138,6253,0,1
storm_spirit,4.25,668,800,47551,49496,1552,10283,1,1
dark_seer,2.4,499,597,40757,53833,147,6892,0,2
silencer,2.17,298,488,14497,27015,0,4614,15,3
pugna,2.27,306,523,30399,28475,769,3945,9,4
terrorblade,1.25,624,554,10885,20007,1743,5496,0,0
silencer,0.83,199,328,5477,10072,0,5372,11,2
storm_spirit,1.33,463,549,10558,19482,41,3451,2,0
vengefulspirit,0.7,373,381,9288,25114,363,6455,0,0
spirit_breaker,0.8,326,337,6968,26506,28,4800,4,2
pangolier,13.5,566,718,21405,9622,4885,6538,2,1
batrider,6.25,412,517,13487,10898,251,4321,9,4
axe,31.0,667,727,23009,14115,545,10611,0,0
skywrath_mage,26.0,366,587,16239,6071,37,5592,6,3
medusa,9.0,792,760,29541,2470,17429,7339,0,3
techies,7.5,356,458,10473,8154,688,7268,4,1
morphling,12.0,743,739,13924,7806,11919,11171,0,0
batrider,18.0,634,767,16199,10617,369,4344,2,0
rubick,3.75,365,448,11548,9038,142,3958,6,5
doom_bringer,6.0,639,566,7837,12309,1403,7425,0,0
ember_spirit,1.33,445,507,12743,10558,1590,6315,3,0
terrorblade,0.8,443,452,6569,13782,0,1361,0,0
venomancer,0.29,380,363,13889,10714,162,1064,0,0
skywrath_mage,1.5,184,300,9114,8511,0,961,5,5
